"Element","h_index","g_index","m_index","TC","NP","PY_start"
"ROYLE JA","16","19","0.696","4773","19","2002"
"NICHOLS JD","10","10","0.435","5501","10","2002"
"ZIPKIN EF","10","13","0.625","588","13","2009"
"KÉRY M","9","12","0.500","818","12","2007"
"FURNAS BJ","8","10","0.800","204","10","2015"
"HINES JE","8","9","0.364","1803","9","2003"
"MILLER DAW","8","9","0.615","390","9","2012"
"BAILEY LL","7","7","0.333","1122","7","2004"
"MACDONALD DW","7","8","0.538","193","8","2012"
"SIEGEL RB","7","7","0.500","144","7","2011"
"GARDNER B","6","7","0.375","466","7","2009"
"MACKENZIE DI","6","7","0.261","5099","7","2002"
"MCSHEA WJ","6","8","0.667","271","8","2016"
"ALTWEGG R","5","5","0.417","83","5","2013"
"CALVO JF","5","5","0.556","57","5","2016"
"GRANT EHC","5","6","0.294","519","6","2008"
"HOSSACK BR","5","5","0.500","118","5","2015"
"KELLY MJ","5","6","0.455","257","6","2014"
"KROLL AJ","5","5","0.333","96","5","2010"
"LUKACS PM","5","5","0.385","155","5","2012"
"MILLSPAUGH JJ","5","5","0.556","225","5","2016"
"ROLOFF GJ","5","5","0.385","119","5","2012"
"ROTA CT","5","7","0.313","490","7","2009"
"TINGLEY MW","5","6","0.556","97","6","2016"
"BELANT JL","4","6","0.400","49","6","2015"
"BETTS MG","4","4","0.250","280","4","2009"
"BLED F","4","6","0.286","157","6","2011"
"BRASHARES JS","4","4","0.286","165","4","2011"
"CARBONE C","4","4","0.500","138","4","2017"
"CHANDLER RB","4","4","0.286","411","4","2011"
"COLLAZO JA","4","6","0.308","58","6","2012"
"DREITZ VJ","4","4","0.500","32","4","2017"
"FARRIS ZJ","4","4","0.364","151","4","2014"
"FERRAZ G","4","4","0.333","82","4","2013"
"FISHER JT","4","4","0.364","67","4","2014"
"FLETCHER RJ","4","5","0.250","334","5","2009"
"GIMENEZ O","4","4","0.364","78","4","2014"
"IRVINE KM","4","4","0.400","96","4","2015"
"ISAAC NJB","4","4","0.444","727","4","2016"
"LEE MB","4","6","0.364","96","6","2014"
"MORTELLITI A","4","5","0.333","75","5","2013"
"MUTHS E","4","4","0.400","121","4","2015"
"NIELSEN CK","4","5","0.400","157","5","2015"
"PARSONS AW","4","4","0.444","209","4","2016"
"PAVLACKY DC","4","4","0.308","97","4","2012"
"PENJOR U","4","4","1.000","44","4","2021"
"POPESCU VD","4","5","0.500","43","5","2017"
"RICH LN","4","4","0.444","209","4","2016"
"RODHOUSE TJ","4","4","0.400","90","4","2015"
"ROVERO F","4","5","0.667","68","5","2019"
"SCHAUBER EM","4","4","0.400","155","4","2015"
"SCHMIDT JH","4","6","0.286","127","6","2011"
"VAN STRIEN AJ","4","4","0.267","387","4","2010"
"WILKERSON RL","4","4","0.286","116","4","2011"
"YAMAURA Y","4","5","0.286","109","5","2011"
"BALDWIN RF","3","4","0.273","31","4","2014"
"BEYER DE","3","4","0.300","51","4","2015"
"BREININGER DR","3","3","0.273","19","3","2014"
"BROEKHUIS F","3","4","0.600","27","4","2020"
"COHEN JB","3","3","0.375","61","3","2017"
"COLE JS","3","3","0.500","28","3","2019"
"COLLEN B","3","3","0.375","70","3","2017"
"COSTA A","3","4","0.500","32","4","2019"
"DECARRE J","3","3","0.500","59","3","2019"
"DOWNS CT","3","3","0.273","60","3","2014"
"DUGGER KM","3","3","0.214","79","3","2011"
"FICETOLA GF","3","6","0.429","89","6","2018"
"FIDINO M","3","3","0.600","80","3","2020"
"FLEISHMAN E","3","4","0.375","18","4","2017"
"FRAIR JL","3","3","0.375","61","3","2017"
"GALLO T","3","4","0.429","78","4","2018"
"GIOVANINI J","3","3","0.231","44","3","2012"
"GOIJMAN AP","3","4","0.300","61","4","2015"
"GREEN AM","3","4","0.750","33","4","2021"
"GREEN AW","3","3","0.250","58","3","2013"
"GUTIÉRREZ RJ","3","3","0.167","210","3","2007"
"HART KM","3","3","0.231","44","3","2012"
"HELLGREN EC","3","3","0.300","151","3","2015"
"HOMYACK JA","3","3","0.273","31","3","2014"
"HOOTEN MB","3","3","0.250","68","3","2013"
"IVAN JS","3","3","0.429","31","3","2018"
"JANOUSEK WM","3","3","0.500","40","3","2019"
"JIMÉNEZ-FRANCO MV","3","3","0.333","42","3","2016"
"JONES JE","3","3","0.231","44","3","2012"
"KARANTH KU","3","3","0.231","89","3","2012"
"KARPANTY SM","3","3","0.273","54","3","2014"
"KAYS RW","3","3","0.333","158","3","2016"
"KELLNER KF","3","3","0.333","32","3","2016"
"KUEMMERLE T","3","3","0.500","59","3","2019"
"LATIF QS","3","5","0.231","39","5","2012"
"LEHRER EW","3","3","0.600","80","3","2020"
"LESMEISTER DB","3","3","0.300","151","3","2015"
"LINDBERG MS","3","3","0.214","37","3","2011"
"LINDEN DW","3","3","0.231","63","3","2012"
"MADHUSUDAN MD","3","3","0.214","85","3","2011"
"MAGLE SB","3","3","0.600","80","3","2020"
"MAJOR RE","3","3","0.300","41","3","2015"
"MANENTI R","3","4","0.429","87","4","2018"
"MARRA PP","3","3","0.375","104","3","2017"
"MAZEROLLE MJ","3","4","0.273","50","4","2014"
"MCCLEERY RA","3","3","0.375","37","3","2017"
"MOLL RJ","3","3","0.500","48","3","2019"
"MONTGOMERY RA","3","3","0.333","60","3","2016"
"MURRAY MH","3","3","0.600","80","3","2020"
"OBEROSLER V","3","3","0.600","39","3","2020"
"PETERMAN WE","3","4","0.250","78","4","2013"
"PETERSON JT","3","4","0.273","51","4","2014"
"PETRACCA LS","3","3","0.429","56","3","2018"
"PILLAY R","3","3","0.214","85","3","2011"
"RAMESH T","3","3","0.273","60","3","2014"
"ROBINSON HS","3","3","0.273","159","3","2014"
"SALVIDIO S","3","4","0.500","32","4","2019"
"SAUER JR","3","3","0.130","255","3","2002"
"SCHMIDT BR","3","4","0.150","178","4","2005"
"SEMLITSCH RD","3","3","0.273","115","3","2014"
"SEMPER-PASCUAL A","3","4","0.500","61","4","2019"
"SHEA CP","3","3","0.300","22","3","2015"
"SILLETT TS","3","4","0.231","116","4","2012"
"SOLLMANN R","3","6","0.231","88","6","2012"
