ID,Reference_url,wos,Year,Location,Taxa,Taxa_long,Model,Data,Design,Sampling_units,Length_study,Coder
366,http://dx.doi.org/10.1890/0012-9658(2002)083[1743:Hmopsa]2.0.Co;2,10.1890/0012-9658(2002)083[1743:Hmopsa]2.0.Co;2,2002,USA,birds,birds,Multiple seasons (dynamic) N-mixture,Online database,Opportunistic collection,NA,33 years,Simona
367,http://dx.doi.org/10.1642/0004-8038(2003)120[1013:Ascora]2.0.Co;2,10.1093/auk/120.4.1013,2003,USA,birds,birds,Multiple seasons (dynamic) N-mixture,Visual survey,Grid,"32 survey sites, 10 sampling points per site",1992–1998,Simona
367,http://dx.doi.org/10.1642/0004-8038(2003)120[1013:Ascora]2.0.Co;2,10.1093/auk/120.4.1013,2003,USA,birds,birds,Multiple seasons (dynamic) N-mixture,Acoustic survey,Grid,"32 survey sites, 10 sampling points per site",1992–1998,Simona
332,http://dx.doi.org/10.1016/j.biocon.2004.10.005,10.1016/j.biocon.2004.10.005,2005,Switzerland,amphibians,amphibians,Single season occupancy,Acoustic survey,Feature-based,27 ponds,"March 27 to June 18, 2002",Simona
368,http://dx.doi.org/10.2193/0022-541x(2005)069[0933:Mpobfr]2.0.Co;2,10.2193/0022-541X(2005)069[0933:MPOBFR]2.0.CO;2,2005,USA,mammals,rodents,Multiple seasons (dynamic) occupancy,Traps,Grid,45 total points per landscape across the 3 strata,"2001, 2002, 2003",Simona
275,http://dx.doi.org/10.1017/S0266467406003397,10.1017/S0266467406003397,2006,Nigeria,reptiles,reptiles,Single season occupancy,Traps,Transect,11 transects,"2003, 2004, 2005",Steluta
369,http://dx.doi.org/10.1007/s10980-006-9005-2,10.1007/s10980-006-9005-2,2006,USA,birds,birds,Multi-scale (single or multiple seasons),Visual survey,Transect,1840 routes,between 1981 and 2001,Simona
369,http://dx.doi.org/10.1007/s10980-006-9005-2,10.1007/s10980-006-9005-2,2006,USA,birds,birds,Multi-scale (single or multiple seasons),Acoustic survey,Transect,1840 routes,between 1981 and 2001,Simona
370,http://dx.doi.org/10.2193/0022-541x(2006)70[1625:Esoadp]2.0.Co;2,10.2193/0022-541x(2006)70[1625:Esoadp]2.0.Co;2,2006,USA,mammals,apes,Multiple seasons (dynamic) occupancy,Camera traps,Grid,13 locations,October 2001 to November 2002,Simona
370,http://dx.doi.org/10.2193/0022-541x(2006)70[1625:Esoadp]2.0.Co;2,10.2193/0022-541x(2006)70[1625:Esoadp]2.0.Co;2,2006,USA,mammals,apes,Multi-species (community) occupancy multiple seasons,Camera traps,Grid,13 locations,October 2001 to November 2002,Simona
370,http://dx.doi.org/10.2193/0022-541x(2006)70[1625:Esoadp]2.0.Co;2,10.2193/0022-541x(2006)70[1625:Esoadp]2.0.Co;2,2006,USA,mammals,apes,Multiple seasons (dynamic) occupancy,Traps,Grid,13 locations,October 2001 to November 2002,Simona
370,http://dx.doi.org/10.2193/0022-541x(2006)70[1625:Esoadp]2.0.Co;2,10.2193/0022-541x(2006)70[1625:Esoadp]2.0.Co;2,2006,USA,mammals,apes,Multi-species (community) occupancy multiple seasons,Traps,Grid,13 locations,October 2001 to November 2002,Simona
333,http://dx.doi.org/10.1890/06-0669.1,10.1890/06-0669.1,2007,Switzerland,birds,birds,Multiple seasons (dynamic) occupancy,Online database,Grid,267 1-km2 quadrats across Switzerland + 446 BBS routes covering substantially all of the Cerulean Warbler range,"four years (2001–2004) for the European Crossbill ,  40 years of data (1966–2005) for Cerulean Warblers",Simona
333,http://dx.doi.org/10.1890/06-0669.1,10.1890/06-0669.1,2007,Switzerland,birds,birds,Multiple seasons (dynamic) occupancy,Online database,Transect,267 1-km2 quadrats across Switzerland + 446 BBS routes covering substantially all of the Cerulean Warbler range,"four years (2001–2004) for the European Crossbill ,  40 years of data (1966–2005) for Cerulean Warblers",Simona
334,http://dx.doi.org/10.1890/06-0912.1,10.1890/06-0912.1,2007,Switzerland,birds,birds,Single season N-mixture,Online database,Grid,238 1-km2 quadrats,2002,Simona
334,http://dx.doi.org/10.1890/06-0912.1,10.1890/06-0912.1,2007,Switzerland,birds,birds,Single season N-mixture,Online database,Transect,238 1-km2 quadrats,2002,Simona
371,http://dx.doi.org/10.2193/2005-613,10.2193/2005-613,2007,USA,mammals,Artiodactyla,Multiple seasons (dynamic) occupancy,Tracks,Feature-based,90 sign stations,"29 March - 6 June, 23 August - 1 November 2003",Steluta
372,http://dx.doi.org/10.2193/2006-013,10.2193/2006-013,2007,USA,birds,birds,Multiple seasons (dynamic) occupancy,Acoustic survey,Territorial unit,20 sites,"1994-1995, 2004-2005",Steluta
373,http://dx.doi.org/10.1007/s10841-007-9075-8,10.1007/s10841-007-9075-8,2008,USA,invertebrates,butterflies,Single season occupancy,Visual survey,Transect,12 transects,March and September 2006,Simona
374,https://doi.org/10.1111/j.1365-2664.2008.01509.x,10.1111/j.1365-2664.2008.01509.x,2008,USA,mammals,small carnivores; reptiles,Multi-scale (single or multiple seasons),Camera traps,Grid,mammal: 47 sample unit; Salamander: 25 sites on 12 lower order steams,"2004 (mammal),  2005 (reptile)",Simona
374,https://doi.org/10.1111/j.1365-2664.2008.01509.x,10.1111/j.1365-2664.2008.01509.x,2008,USA,reptiles,small carnivores; reptiles,Multi-scale (single or multiple seasons),Camera traps,Grid,mammal: 47 sample unit; Salamander: 25 sites on 12 lower order steams,"2004 (mammal),  2005 (reptile)",Simona
374,https://doi.org/10.1111/j.1365-2664.2008.01509.x,10.1111/j.1365-2664.2008.01509.x,2008,USA,mammals,small carnivores; reptiles,Multi-scale (single or multiple seasons),Traps,Grid,mammal: 47 sample unit; Salamander: 25 sites on 12 lower order steams,"2004 (mammal),  2005 (reptile)",Simona
374,https://doi.org/10.1111/j.1365-2664.2008.01509.x,10.1111/j.1365-2664.2008.01509.x,2008,USA,reptiles,small carnivores; reptiles,Multi-scale (single or multiple seasons),Traps,Grid,mammal: 47 sample unit; Salamander: 25 sites on 12 lower order steams,"2004 (mammal),  2005 (reptile)",Simona
67,http://dx.doi.org/10.3354/meps07886,10.3354/meps07886,2009,Barbados,fish,fish ocean,Multi-species (community) occupancy single season,Traps,Opportunistic collection,5 sites located ≥2 km apart over a 15 km,17 mo time series from 29 June 2003 to 25 November 2004),Andreea
73,http://dx.doi.org/10.1177/1940082920966470,10.1177/1940082920966470,2009,Bolivia,mammals,meso mammals; large carnivores (Leopardus; Panthera),Single season occupancy,Tracks,Transect,110 km road,June and December 2013,Andreea
73,http://dx.doi.org/10.1177/1940082920966470,10.1177/1940082920966470,2009,Bolivia,mammals,meso mammals; large carnivores (Leopardus; Panthera),Single season occupancy,Visual survey,Transect,110 km road,June and December 2013,Andreea
375,http://dx.doi.org/10.1111/j.1365-2427.2009.02166.x,10.1111/j.1365-2427.2009.02166.x,2009,USA,amphibians,amphibians,Single season occupancy,Traps,Transect,"54 first-order streams,","August 2004 and 2005, June and July of 2005 and 2006",Steluta
376,http://dx.doi.org/10.1111/j.1365-2664.2009.01664.x,10.1111/j.1365-2664.2009.01664.x,2009,USA,birds,birds,Multi-species (community) occupancy single season,Visual survey,Grid,"2 randomly selected independent points in deciduous and mixed-deciduous forest fragments across the HRV, New York. The sampling locations ranged over the entire 9546 km2 region which includes all or part of nine counties that border the Hudson River, north of New York City. Points were located at least 500 m apart using Hawth’s stratified random sampling tool",2-year period (15 May to 1 July 2006 and 15 May to 1 July 2007),Andreea
376,http://dx.doi.org/10.1111/j.1365-2664.2009.01664.x,10.1111/j.1365-2664.2009.01664.x,2009,USA,birds,birds,Multi-species (community) occupancy single season,Acoustic survey,Grid,"2 randomly selected independent points in deciduous and mixed-deciduous forest fragments across the HRV, New York. The sampling locations ranged over the entire 9546 km2 region which includes all or part of nine counties that border the Hudson River, north of New York City. Points were located at least 500 m apart using Hawth’s stratified random sampling tool",2-year period (15 May to 1 July 2006 and 15 May to 1 July 2007),Andreea
377,http://dx.doi.org/10.1111/j.1365-2664.2009.01734.x,10.1111/j.1365-2664.2009.01734.x,2009,USA,birds,birds,Single season occupancy,Visual survey,Grid,165 sites,2004: once between 25 May and 15 June and again between 15 June and 10 July,Simona
377,http://dx.doi.org/10.1111/j.1365-2664.2009.01734.x,10.1111/j.1365-2664.2009.01734.x,2009,USA,birds,birds,Single season occupancy,Acoustic survey,Grid,165 sites,2004: once between 25 May and 15 June and again between 15 June and 10 July,Simona
378,http://dx.doi.org/10.1670/08-063R1.1,10.1670/08-063R1.1,2009,USA,amphibians,amphibians,Single season occupancy,Visual survey,Grid,"143 survey sites , 551 stations","2003, 2004",Simona
378,http://dx.doi.org/10.1670/08-063R1.1,10.1670/08-063R1.1,2009,USA,amphibians,amphibians,Single season occupancy,Visual survey,Transect,"143 survey sites , 551 stations","2003, 2004",Simona
379,10.1890/07-2112.1,10.1890/07-2112.1,2009,USA,mammals,black bear,Multiple seasons (dynamic) N-mixture,eDNA,Grid,38 traps,2006,Laurentiu
27,10.1890/09-0804.1,10.1890/09-0804.1,2010,Argentina,mammals,large carnivores,Multiple seasons (dynamic) N-mixture,Camera traps,Grid,162 camera traps,2006-2007,Laurentiu
164,http://dx.doi.org/10.1111/j.1365-2656.2010.01699.x,10.1111/j.1365-2656.2010.01699.x,2010,Costa Rica,birds,birds,Multiple seasons (dynamic) occupancy,Visual survey,Opportunistic collection,6 study plots,all months of 2008 except January and September,Simona
164,http://dx.doi.org/10.1111/j.1365-2656.2010.01699.x,10.1111/j.1365-2656.2010.01699.x,2010,Costa Rica,birds,birds,Multiple seasons (dynamic) occupancy,Acoustic survey,Opportunistic collection,6 study plots,all months of 2008 except January and September,Simona
175,http://dx.doi.org/10.1111/j.1365-2664.2010.01786.x,10.1111/j.1365-2664.2010.01786.x,2010,France,birds,birds,Single season occupancy,Visual survey,Territorial unit,55 territories,2000 to 2009,Simona
175,http://dx.doi.org/10.1111/j.1365-2664.2010.01786.x,10.1111/j.1365-2664.2010.01786.x,2010,France,birds,birds,Single season occupancy,Acoustic survey,Territorial unit,55 territories,2000 to 2009,Simona
322,http://dx.doi.org/10.5735/086.047.0502,10.5735/086.047.0502,2010,Spain,amphibians,amphibians,Single season occupancy,Traps,Feature-based,3 consecutive dipnet sweeps,"february-may 2003, january-may 2004, march-may 2006",Steluta
335,10.1111/j.1541-0420.2010.01465.x,10.1111/j.1541-0420.2010.01465.x,2010,Switzerland,birds,birds,Single season occupancy,Visual survey,Grid,250 1-km2 quadrats,2002,Laurentiu
380,http://dx.doi.org/10.1111/j.1365-2664.2010.01900.x,10.1111/j.1365-2664.2010.01900.x,2010,USA,birds,birds,Single season N-mixture,Acoustic survey,Grid,353 randomly selected sections,"2005, 2006 and 2007 breeding seasons",Simona
381,10.2193/2009-101,10.2193/2009-101,2010,USA,mammals,black bear,Single season N-mixture,eDNA,Grid,38 barbed-wire traps,2006,Laurentiu
382,http://dx.doi.org/10.2193/2009-429,10.2193/2009-429,2010,USA,birds,birds,Single season occupancy,Visual survey,Opportunistic collection,163 sites,1990-2003,Steluta
382,http://dx.doi.org/10.2193/2009-429,10.2193/2009-429,2010,USA,birds,birds,Single season occupancy,Acoustic survey,Opportunistic collection,163 sites,1990-2003,Steluta
383,http://dx.doi.org/10.5751/ACE-00426-050212,10.5751/ACE-00426-050212,2010,USA,birds,birds,Multi-scale (single or multiple seasons),Visual survey,Transect,1840 routes,between 1981 and 2001,Simona
383,http://dx.doi.org/10.5751/ACE-00426-050212,10.5751/ACE-00426-050212,2010,USA,birds,birds,Multi-scale (single or multiple seasons),Acoustic survey,Transect,1840 routes,between 1981 and 2001,Simona
6,http://dx.doi.org/10.1111/j.1365-2656.2010.01780.x,10.1111/j.1365-2656.2010.01780.x,2011,USA,birds,birds,Single season occupancy,Online database,Opportunistic collection,NA,10 weeks in the winter season from 1 December 2007 to 8 February 2008,Andreea
6,http://dx.doi.org/10.1111/j.1365-2656.2010.01780.x,10.1111/j.1365-2656.2010.01780.x,2011,Canada,birds,birds,Single season occupancy,Online database,Opportunistic collection,NA,10 weeks in the winter season from 1 December 2007 to 8 February 2008,Andreea
43,http://dx.doi.org/10.1111/j.1472-4642.2011.00766.x,10.1111/j.1472-4642.2011.00766.x,2011,Australia,mammals,small ground-dwelling mammals,Multiple seasons (dynamic) occupancy,Traps,Transect,299 individual sites (598 pitfalls),12 sites (October 2004 re-sampled in May 2005)  / 12 sites September/October 2005 and re-sampled in May 2006,Steluta
176,10.1007/s10531-011-0023-2,10.1007/s10531-011-0023-2,2011,France,birds,birds,Multi-species (community) occupancy multiple seasons,Visual survey,Grid,1 forest,1985 and 1987,Laurentiu
176,10.1007/s10531-011-0023-2,10.1007/s10531-011-0023-2,2011,France,birds,birds,Multi-species (community) occupancy multiple seasons,Acoustic survey,Grid,1 forest,1985 and 1987,Laurentiu
191,10.1016/j.biocon.2011.06.014,10.1016/j.biocon.2011.06.014,2011,Ghana,mammals,carnivores,Multi-species (community) occupancy single season,Camera traps,Grid,253,2006-2009,Laurentiu
