"Paper","DOI","Total Citations","TC per Year","Normalized TC"
"MACKENZIE DI, 2002, ECOLOGY","10.1890/0012-9658(2002)083[2248:ESORWD]2.0.CO;2","3108","135.13","1.94"
"MACKENZIE DI, 2003, ECOLOGY","10.1890/02-3090","1197","54.41","1.94"
"TYRE AJ, 2003, ECOL APPL","10.1890/02-5078","545","24.77","0.88"
"POWNEY GD, 2019, NAT COMMUN","10.1038/s41467-019-08974-9","361","60.17","19.82"
"ROYLE JA, 2007, ECOLOGY","10.1890/06-0669.1","320","17.78","2.81"
"MACKENZIE DI, 2004, J ANIM ECOL","10.1111/j.0021-8790.2004.00828.x","312","14.86","1.00"
"SOROYE P, 2020, SCIENCE","10.1126/science.aax8591","309","61.80","22.42"
"MACKENZIE DI, 2005, ECOLOGY","10.1890/04-1060","309","15.45","1.61"
"WOODCOCK BA, 2016, NAT COMMUN","10.1038/ncomms12459","300","33.33","10.78"
"NICHOLS JD, 2008, J APPL ECOL","10.1111/j.1365-2664.2008.01509.x","270","15.88","1.74"
"DAIL D, 2011, BIOMETRICS","10.1111/j.1541-0420.2010.01465.x","269","19.21","3.99"
"VAN STRIEN AJ, 2013, J APPL ECOL","10.1111/1365-2664.12158","261","21.75","6.79"
"ZIPKIN EF, 2009, J APPL ECOL","10.1111/j.1365-2664.2009.01664.x","248","15.50","2.56"
"ROTA CT, 2009, J APPL ECOL","10.1111/j.1365-2664.2009.01734.x","197","12.31","2.03"
"PELLET J, 2005, BIOL CONSERV","10.1016/j.biocon.2004.10.005","164","8.20","0.86"
"CHANDLER RB, 2011, ECOLOGY","10.1890/10-2433.1","161","11.50","2.39"
"O'CONNELL AF, 2006, J WILDLIFE MANAGE","10.2193/0022-541X(2006)70[1625:ESOADP]2.0.CO;2","152","8.00","2.14"
"NICHOLS JD, 2007, ECOLOGY","10.1890/06-1474","149","8.28","1.31"
"LESMEISTER DB, 2015, WILDLIFE MONOGR","10.1002/wmon.1015","142","14.20","4.96"
"GARDNER B, 2010, ECOLOGY","10.1890/09-0804.1","140","9.33","2.88"
"ROYLE JA, 2007, ECOL MONOGR","10.1890/06-0912.1","135","7.50","1.18"
"ROTA CT, 2016, METHODS ECOL EVOL","10.1111/2041-210X.12587","126","14.00","4.53"
"AHUMADA JA, 2013, PLOS ONE","10.1371/journal.pone.0073707","122","10.17","3.18"
"TOBLER MW, 2015, J APPL ECOL","10.1111/1365-2664.12399","121","12.10","4.23"
"CHEN GK, 2013, J ECOL","10.1111/1365-2745.12021","108","9.00","2.81"
"NORVELL RE, 2003, AUK","10.1642/0004-8038(2003)120[1013:ASCORA]2.0.CO;2","108","4.91","0.18"
"BURTON AC, 2012, PLOS ONE","10.1371/journal.pone.0038007","106","8.15","2.80"
"GARDNER B, 2010, J WILDLIFE MANAGE","10.2193/2009-101","105","7.00","2.16"
"BRODIE JF, 2015, CONSERV BIOL","10.1111/cobi.12337","104","10.40","3.63"
"RICH LN, 2016, J APPL ECOL","10.1111/1365-2664.12650","102","11.33","3.66"
"MOORE JE, 2005, J WILDLIFE MANAGE","10.2193/0022-541X(2005)069[0933:MPOBFR]2.0.CO;2","101","5.05","0.53"
"ZUCKERBERG B, 2011, J ANIM ECOL","10.1111/j.1365-2656.2010.01780.x","98","7.00","1.45"
"SILLETT TS, 2012, ECOL APPL","10.1890/11-1400.1","92","7.08","2.43"
"ZIPKIN EF, 2012, ECOL APPL","10.1890/11-1936.1","92","7.08","2.43"
"NARANGO DL, 2017, BIOL CONSERV","10.1016/j.biocon.2017.06.029","88","11.00","5.12"
"SAUER JR, 2002, ECOLOGY","10.2307/3071992","88","3.83","0.06"
"RICH LN, 2017, GLOBAL ECOL BIOGEOGR","10.1111/geb.12600","85","10.63","4.95"
"ZIPKIN EF, 2014, ECOLOGY","10.1890/13-1131.1","85","7.73","3.45"
"MORDECAI RS, 2011, J APPL ECOL","10.1111/j.1365-2664.2010.01921.x","85","6.07","1.26"
"FURNAS BJ, 2015, J WILDLIFE MANAGE","10.1002/jwmg.821","82","8.20","2.87"
"BLED F, 2011, ECOL APPL","10.1890/09-1877.1","81","5.79","1.20"
"ROTA CT, 2011, ECOGRAPHY","10.1111/j.1600-0587.2010.06433.x","80","5.71","1.19"
"AMUNDSON CL, 2014, AUK","10.1642/AUK-14-11.1","77","7.00","3.13"
"GARDNER B, 2009, ECOLOGY","10.1890/07-2112.1","76","4.75","0.78"
"CHANDLER RB, 2015, J APPL ECOL","10.1111/1365-2664.12481","73","7.30","2.55"
"MILLER DAW, 2012, J ANIM ECOL","10.1111/j.1365-2656.2012.02001.x","73","5.62","1.93"
"DUGGER KM, 2011, ECOL APPL","10.1890/10-2142.1","71","5.07","1.05"
"BISCHOF R, 2014, J ZOOL","10.1111/jzo.12100","70","6.36","2.84"
"SOLLMANN R, 2012, MAMM BIOL","10.1016/j.mambio.2011.06.011","68","5.23","1.80"
"SEMLITSCH RD, 2014, CAN J ZOOL","10.1139/cjz-2014-0141","66","6.00","2.68"
"FICETOLA GF, 2018, SCI REP-UK","10.1038/s41598-018-28432-8","62","8.86","3.93"
"WEARN OR, 2017, BIOL CONSERV","10.1016/j.biocon.2017.05.007","59","7.38","3.43"
"YAMAURA Y, 2011, J APPL ECOL","10.1111/j.1365-2664.2010.01922.x","59","4.21","0.87"
"PAVLACKY DC, 2012, J WILDLIFE MANAGE","10.1002/jwmg.245","58","4.46","1.53"
"TERMAAT T, 2019, DIVERS DISTRIB","10.1111/ddi.12913","57","9.50","3.13"
"GRILO C, 2011, EUR J WILDLIFE RES","10.1007/s10344-010-0478-6","57","4.07","0.84"
"VAN STRIEN AJ, 2010, BASIC APPL ECOL","10.1016/j.baae.2010.05.003","56","3.73","1.15"
"THOGMARTIN WE, 2007, LANDSCAPE ECOL","10.1007/s10980-006-9005-2","56","3.11","0.49"
"GILROY JJ, 2015, GLOBAL CHANGE BIOL","10.1111/gcb.12696","52","5.20","1.82"
"MONTERROSO P, 2020, ECOLOGY","10.1002/ecy.3059","51","10.20","3.70"
"PARSONS AW, 2019, J APPL ECOL","10.1111/1365-2664.13385","51","8.50","2.80"
"TEMPEL DJ, 2013, CONSERV BIOL","10.1111/cobi.12074","50","4.17","1.30"
"SCHMIDT JH, 2013, BIOL CONSERV","10.1016/j.biocon.2013.01.007","50","4.17","1.30"
"LEE MB, 2017, PLOS ONE","10.1371/journal.pone.0170540","49","6.13","2.85"
"RODHOUSE TJ, 2019, ECOL EVOL","10.1002/ece3.5612","47","7.83","2.58"
"DAVIES HF, 2017, DIVERS DISTRIB","10.1111/ddi.12522","47","5.88","2.73"
"FREY SJK, 2016, DIVERS DISTRIB","10.1111/ddi.12456","47","5.22","1.69"
"PILLAY R, 2011, BIOL CONSERV","10.1016/j.biocon.2011.01.026","47","3.36","0.70"
"CUSACK JJ, 2017, OIKOS","10.1111/oik.03403","46","5.75","2.68"
"ROLAND CA, 2013, ECOL MONOGR","10.1890/11-2136.1","46","3.83","1.20"
"BLED F, 2013, ECOL EVOL","10.1002/ece3.858","45","3.75","1.17"
"SARACCO JF, 2011, ECOSPHERE","10.1890/ES10-00132.1","45","3.21","0.67"
"NÚÑEZ-REGUEIRO MM, 2015, BIOL CONSERV","10.1016/j.biocon.2015.04.001","44","4.40","1.54"
"GÁLVEZ N, 2013, ORYX","10.1017/S0030605312000099","44","3.67","1.15"
"LUISELLI L, 2006, J TROP ECOL","10.1017/S0266467406003397","44","2.32","0.62"
"FIDINO M, 2021, ECOL APPL","10.1002/eap.2253","44","11.00","6.09"
"ATHREYA V, 2015, PLOS ONE","10.1371/journal.pone.0142647","42","4.20","1.47"
