"Document","DOI","Year","Local Citations","Global Citations","LC/GC Ratio (%)","Normalized Local Citations","Normalized Global Citations"
"MACKENZIE DI, 2003, ECOLOGY","10.1890/02-3090","2003","127","1197","10.61","2.22","1.94"
"ZIPKIN EF, 2009, J APPL ECOL","10.1111/j.1365-2664.2009.01664.x","2009","95","248","38.31","3.96","2.56"
"ROYLE JA, 2007, ECOLOGY","10.1890/06-0669.1","2007","49","320","15.31","3.34","2.81"
"TYRE AJ, 2003, ECOL APPL","10.1890/02-5078","2003","45","545","8.26","0.78","0.88"
"MACKENZIE DI, 2004, J ANIM ECOL","10.1111/j.0021-8790.2004.00828.x","2004","43","312","13.78","1.00","1.00"
"ROTA CT, 2009, J APPL ECOL","10.1111/j.1365-2664.2009.01734.x","2009","43","197","21.83","1.79","2.03"
"NICHOLS JD, 2008, J APPL ECOL","10.1111/j.1365-2664.2008.01509.x","2008","42","270","15.56","1.87","1.74"
"DAIL D, 2011, BIOMETRICS","10.1111/j.1541-0420.2010.01465.x","2011","38","269","14.13","5.21","3.99"
"RICH LN, 2016, J APPL ECOL","10.1111/1365-2664.12650","2016","29","102","28.43","11.38","3.66"
"TOBLER MW, 2015, J APPL ECOL","10.1111/1365-2664.12399","2015","26","121","21.49","12.55","4.23"
"MACKENZIE DI, 2005, ECOLOGY","10.1890/04-1060","2005","24","309","7.77","2.40","1.61"
"ZIPKIN EF, 2012, ECOL APPL","10.1890/11-1936.1","2012","24","92","26.09","4.15","2.43"
"ROTA CT, 2016, METHODS ECOL EVOL","10.1111/2041-210X.12587","2016","24","126","19.05","9.42","4.53"
"NICHOLS JD, 2007, ECOLOGY","10.1890/06-1474","2007","21","149","14.09","1.43","1.31"
"BURTON AC, 2012, PLOS ONE","10.1371/journal.pone.0038007","2012","20","106","18.87","3.45","2.80"
"CHANDLER RB, 2011, ECOLOGY","10.1890/10-2433.1","2011","19","161","11.80","2.60","2.39"
"PAVLACKY DC, 2012, J WILDLIFE MANAGE","10.1002/jwmg.245","2012","18","58","31.03","3.11","1.53"
"MORDECAI RS, 2011, J APPL ECOL","10.1111/j.1365-2664.2010.01921.x","2011","17","85","20.00","2.33","1.26"
"RICH LN, 2017, GLOBAL ECOL BIOGEOGR","10.1111/geb.12600","2017","16","85","18.82","12.90","4.95"
"ROYLE JA, 2007, ECOL MONOGR","10.1890/06-0912.1","2007","15","135","11.11","1.02","1.18"
"VAN STRIEN AJ, 2013, J APPL ECOL","10.1111/1365-2664.12158","2013","14","261","5.36","5.42","6.79"
"AHUMADA JA, 2013, PLOS ONE","10.1371/journal.pone.0073707","2013","14","122","11.48","5.42","3.18"
"FICETOLA GF, 2018, SCI REP-UK","10.1038/s41598-018-28432-8","2018","13","62","20.97","8.96","3.93"
