"Element","h_index","g_index","m_index","TC","NP","PY_start"
"BIOLOGICAL CONSERVATION","21","31","1.050","964","36","2005"
"DIVERSITY AND DISTRIBUTIONS","17","24","1.214","640","36","2011"
"ECOLOGY","16","19","0.696","5854","19","2002"
"ECOSPHERE","15","18","1.071","430","35","2011"
"JOURNAL OF APPLIED ECOLOGY","15","25","0.882","1705","25","2008"
"JOURNAL OF WILDLIFE MANAGEMENT","15","29","0.750","877","36","2005"
"PLOS ONE","15","26","1.154","706","30","2012"
"ECOLOGICAL APPLICATIONS","12","21","0.545","1090","21","2003"
"ECOLOGY AND EVOLUTION","11","16","0.917","315","31","2013"
"FOREST ECOLOGY AND MANAGEMENT","11","15","0.846","277","24","2012"
"ANIMAL CONSERVATION","10","15","0.769","242","16","2012"
"ECOGRAPHY","10","14","0.714","275","14","2011"
"CONSERVATION BIOLOGY","9","13","0.750","302","13","2013"
"JOURNAL OF ANIMAL ECOLOGY","8","9","0.381","577","9","2004"
"LANDSCAPE ECOLOGY","8","14","0.444","200","16","2007"
"CONDOR","7","10","0.700","125","10","2015"
"ECOLOGICAL INDICATORS","7","10","0.538","121","10","2012"
"AUK","6","6","0.273","243","6","2003"
"FRESHWATER BIOLOGY","6","7","0.375","149","7","2009"
"JOURNAL OF MAMMALOGY","6","9","0.750","109","9","2017"
"METHODS IN ECOLOGY AND EVOLUTION","6","6","0.545","248","6","2014"
"AVIAN CONSERVATION AND ECOLOGY","5","7","0.333","65","7","2010"
"BIODIVERSITY AND CONSERVATION","5","9","0.357","86","10","2011"
"GLOBAL ECOLOGY AND CONSERVATION","5","9","0.833","93","13","2019"
"ORYX","5","7","0.417","93","7","2013"
"SCIENTIFIC REPORTS","5","6","0.556","119","6","2016"
"WILDLIFE RESEARCH","5","8","0.417","67","10","2013"
"AGRICULTURE ECOSYSTEMS & ENVIRONMENT","4","5","0.571","40","5","2018"
"BASIC AND APPLIED ECOLOGY","4","4","0.267","99","4","2010"
"JOURNAL OF FISH AND WILDLIFE MANAGEMENT","4","5","0.364","33","7","2014"
"JOURNAL OF ZOOLOGY","4","5","0.333","107","5","2013"
"MAMMALIAN BIOLOGY","4","7","0.308","113","7","2012"
"NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT","4","4","0.444","30","4","2016"
"AUSTRAL ECOLOGY","3","5","0.333","34","5","2016"
"ECOLOGICAL MODELLING","3","3","0.333","21","3","2016"
"FRONTIERS IN ECOLOGY AND EVOLUTION","3","7","0.429","58","7","2018"
"GLOBAL CHANGE BIOLOGY","3","3","0.300","89","3","2015"
"JOURNAL OF HERPETOLOGY","3","3","0.188","29","3","2009"
"MAMMAL RESEARCH","3","5","0.333","51","5","2016"
"NATURE COMMUNICATIONS","3","3","0.333","667","3","2016"
"PEERJ","3","4","0.375","23","4","2017"
"TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY","3","4","0.214","57","4","2011"
"URBAN ECOSYSTEMS","3","7","0.375","69","7","2017"
"WILDLIFE BIOLOGY","3","5","0.214","33","7","2011"
"ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY","2","2","0.333","23","2","2019"
"AFRICAN JOURNAL OF WILDLIFE RESEARCH","2","2","0.222","18","2","2016"
