Element,h_index,g_index,m_index,TC,NP,PY_start
ROYLE JA,14,18,0.636,4564,18,2002
NICHOLS JD,10,10,0.455,5393,10,2002
ZIPKIN EF,10,13,0.667,536,13,2009
HINES JE,8,9,0.381,1758,9,2003
KERY M,8,11,0.471,707,11,2007
MILLER DAW,8,10,0.667,324,10,2012
BAILEY LL,7,7,0.35,1093,7,2004
FURNAS BJ,7,10,0.778,179,10,2015
MACKENZIE DI,7,8,0.318,5029,8,2002
GARDNER B,6,7,0.4,441,7,2009
MACDONALD DW,6,8,0.5,156,8,2012
MCSHEA WJ,6,8,0.75,213,8,2016
ALTWEGG R,5,5,0.455,73,5,2013
GRANT EHC,5,6,0.313,495,6,2008
KELLY MJ,5,6,0.5,219,6,2014
KROLL AJ,5,5,0.357,94,5,2010
LUKACS PM,5,5,0.417,139,5,2012
ROLOFF GJ,5,5,0.417,103,5,2012
ROTA CT,5,7,0.333,437,7,2009
BETTS MG,4,4,0.267,259,4,2009
BRASHARES JS,4,4,0.308,156,4,2011
CALVO JF,4,5,0.5,45,5,2016
CARBONE C,4,4,0.571,122,4,2017
CHANDLER RB,4,4,0.308,391,4,2011
COLLAZO JA,4,6,0.333,56,6,2012
FARRIS ZJ,4,4,0.4,129,4,2014
FISHER JT,4,4,0.4,62,4,2014
FLETCHER RJ,4,5,0.267,323,5,2009
FORRESTER TD,4,4,0.5,175,4,2016
HOMYACK JA,4,4,0.4,39,4,2014
HOSSACK BR,4,5,0.444,103,5,2015
IRVINE KM,4,4,0.444,86,4,2015
JIMENEZ-FRANCO MV,4,4,0.5,42,4,2016
LEE MB,4,6,0.4,81,6,2014
MCCLEERY RA,4,4,0.571,50,4,2017
MILLSPAUGH JJ,4,5,0.5,178,5,2016
MUTHS E,4,4,0.444,110,4,2015
RICH LN,4,5,0.5,178,5,2016
ROBINSON HS,4,4,0.4,150,4,2014
RODHOUSE TJ,4,4,0.444,79,4,2015
ROWCLIFFE JM,4,4,0.571,129,4,2017
SCHMIDT JH,4,6,0.308,122,6,2011
SIEGEL RB,4,5,0.308,76,5,2011
SUTHERLAND C,4,7,0.364,56,7,2013
AMUNDSON CL,3,3,0.3,90,3,2014
BALDWIN RF,3,4,0.3,28,4,2014
BELANT JL,3,6,0.333,43,6,2015
BEYER DE,3,4,0.333,41,4,2015
BLED F,3,6,0.231,148,6,2011
BREININGER DR,3,3,0.3,14,3,2014
