Id,Label,links,total_link_strength,documents,citations,degree.centr,closnesscentrality,norm.betweeness.centr,component.number,clustering,triangles,eigen.centr
1,"abellan, pedro",5,5,1,0,5,0.155061,0,0,1,10,0.000114
2,"abidin, tommy rowel",8,8,1,1,8,0.833333,0,1,1,28,0.000143
3,"abrams, jesse f.",21,25,3,9,21,0.149883,0.000065,0,0.595238,125,0.002527
4,"abu bakar, mohd soffian",8,8,1,1,8,0.833333,0,1,1,28,0.000143
5,"acevedo, pelayo",3,3,1,0,3,1,0,2,1,3,0.000015
6,"acharya, bishnu prasad",12,12,1,0,12,0.17129,0,0,1,66,0.003686
7,"acharya, krishna prasad",14,14,2,24,14,0.177594,0.002229,0,0.56044,51,0.003345
8,"adalsteinsson, solny a.",26,26,1,23,26,0.162063,0,0,1,325,0.052013
9,"adams, amy a. yackel",6,6,1,2,6,0.118425,0,0,1,15,0.000096
10,"adams, layne g.",3,3,1,22,3,0.48,0,3,1,3,0.00004
11,"adams, michael j.",6,10,2,14,6,0.122541,0,0,1,15,0.000112
12,"adams, tempe",41,41,1,3,41,0.182617,0,0,1,820,0.948232
13,"addison, lindsay",8,8,1,10,8,0.170115,0,0,1,28,0.000204
14,"aguzzi, stefano",3,3,1,1,3,1,0,4,1,3,0.000015
15,"ahlers, adam a.",42,53,3,67,42,0.163054,0.002091,0,0.593496,511,0.067441
16,"ahmad, bilal",10,13,2,2,10,1,0.000001,1,0.777778,35,0.000163
17,"ahmad, tariq",9,9,1,4,9,1,0,5,1,36,0.000172
18,"ahmed, m. f.",4,4,1,7,4,1,0,6,1,6,0.000025
19,"ahumada, jorge a.",26,26,3,119,26,0.19054,0.014178,0,0.52,169,0.003596
20,"akampurira, emmanuel",18,18,1,0,18,0.180818,0,0,1,153,0.003323
21,"akasaka, takumi",5,5,1,3,5,0.168233,0,0,1,10,0.000092
22,"akkawi, paula",3,3,1,10,3,1,0,7,1,3,0.000015
23,"akre, thomas a.",5,5,1,2,5,0.187757,0,0,1,10,0.000275
24,"akrim, faraz",9,9,1,4,9,1,0,5,1,36,0.000172
25,"alakoski, r.",3,3,1,15,3,1,0,8,1,3,0.000015
26,"alaniz, alberto j.",7,7,1,2,7,1,0,9,1,21,0.000085
27,"alcoverro, teresa",4,4,1,20,4,1,0,10,1,6,0.000025
28,"aldridge, cameron l.",3,3,1,12,3,0.131596,0,0,1,3,0.00004
29,"aldridge, cileb a.",3,3,1,0,3,0.111233,0,0,1,3,0.000027
30,"alejandro viddi, francisco",8,8,1,13,8,1,0,11,1,28,0.000122
31,"alen, lukmann h.",14,14,1,0,14,0.149756,0,0,1,91,0.002076
32,"alexander, bradley w.",1,1,1,10,1,1,0,12,0,0,0.000003
33,"alexsander, j. s.",6,6,1,4,6,0.162866,0,0,1,15,0.000213
34,"ali, h.",4,4,1,65,4,0.153263,0,0,1,6,0.000232
35,"ali, mirza wajid",9,9,1,4,9,1,0,5,1,36,0.000172
36,"allen, maximilian l.",9,10,2,1,9,0.155693,0.000174,0,0.805556,29,0.002676
37,"allender, matthew c.",6,6,1,27,6,0.105981,0,0,1,15,0.000073
38,"almberg, emily s.",3,3,1,13,3,0.434783,0,13,1,3,0.000036
39,"almeyda zambrano, angelica",4,4,1,10,4,0.148561,0,0,1,6,0.00024
40,"altman, bob",4,8,2,26,4,0.146301,0,0,1,6,0.000061
41,"altwegg, res",9,9,5,73,9,0.206092,0.00357,0,0.138889,5,0.000281
42,"alvarez-loayza, patricia",13,13,1,0,13,1,0,14,1,78,0.00061
43,"alves, fernanda",5,5,1,1,5,1,0,15,1,10,0.000039
44,"alves, paulo c.",4,4,1,38,4,0.132323,0,0,1,6,0.000055
45,"aman, jacob",3,3,1,0,3,1,0,16,1,3,0.000015
46,"amaya, max",22,22,1,44,22,0.162323,0,0,1,231,0.041391
47,"ambu, laurentius",7,7,1,96,7,0.166529,0,0,1,21,0.000277
48,"amburgey, staci m.",7,7,1,4,7,0.193064,0,0,1,21,0.003432
49,"amelon, sybill k.",3,3,1,1,3,0.147815,0,0,1,3,0.000033
50,"amgalanbaatar, sukh",4,4,1,7,4,1,0,17,1,6,0.000025
51,"amir, zachary",2,2,1,0,2,0.118287,0,0,1,1,0.000028
52,"amrhein, valentin",1,1,1,13,1,1,0,18,0,0,0.000003
53,"amundson, courtney",8,9,3,90,8,0.204158,0.007231,0,0.357143,10,0.000264
54,"anadon, jose d.",5,5,1,0,5,0.155061,0,0,1,10,0.000114
55,"ancillotto, leonardo",4,4,1,0,4,0.532258,0,19,1,6,0.000287
56,"andersen, alan n.",8,8,1,43,8,0.448276,0,20,1,28,0.000232
57,"andersen, david e.",2,2,1,14,2,1,0,21,1,1,0.000008
58,"andersen, erik m.",1,1,1,16,1,1,0,22,0,0,0.000003
59,"anderson, jesse",7,7,1,96,7,0.166529,0,0,1,21,0.000277
60,"anderson, kaitlyn",2,2,1,0,2,1,0,23,1,1,0.000008
61,"anderson, t. l.",4,4,1,28,4,0.14254,0,0,1,6,0.001635
62,"andren, henrik",6,6,1,6,6,0.875,0,24,1,15,0.000059
63,"andreone, franco",16,16,1,52,16,0.66,0,19,1,120,0.00198
64,"andres, brad a.",8,8,1,13,8,0.201396,0,0,1,28,0.000409
65,"andretti, christian b.",8,8,1,11,8,0.195682,0,0,1,28,0.000511
66,"andrews, lawrence s.",3,4,2,106,3,0.136447,0.000206,0,0.666667,2,0.000026
67,"andrianjakarivelo, vonjy",7,11,2,27,7,0.171,0,0,0.904762,19,0.005474
68,"angstmann, julia l.",22,22,1,44,22,0.162323,0,0,1,231,0.041391
69,"annand, elizabeth m.",8,8,1,256,8,0.214861,0,0,1,28,0.000756
70,"anthony, robert g.",3,4,2,106,3,0.136447,0.000206,0,0.666667,2,0.000026
71,"anthonysamy, whitney j. b.",26,26,1,23,26,0.162063,0,0,1,325,0.052013
72,"antonelli, cecilia rocio",5,5,1,0,5,0.153279,0,0,1,10,0.000418
73,"antongiovanni, marina",4,4,1,12,4,0.611111,0,25,1,6,0.000038
74,"antonio de la torre, j.",10,10,1,13,10,0.154031,0,0,1,45,0.000604
75,"applegate, roger d.",5,5,1,21,5,0.857143,0,26,1,10,0.00004
76,"apte, deepak",5,5,1,3,5,0.777778,0,27,1,10,0.000041
77,"aquino, jesica",13,13,1,1,13,0.172818,0,0,1,78,0.009342
78,"aragon, susan",2,2,1,11,2,1,0,28,1,1,0.000008
79,"arasumani, m.",5,5,1,4,5,1,0,29,1,10,0.000039
80,"araya-gamboa, daniela",5,5,1,4,5,0.155778,0,0,1,10,0.001503
81,"ares-pereira, guilherme",7,7,1,0,7,0.733333,0,25,1,21,0.000093
82,"arias, laura n. cespedes",2,2,1,1,2,0.157654,0,0,1,1,0.000024
83,"ariefiandy, achmad",4,4,1,28,4,1,0,30,1,6,0.000025
84,"armenteras, dolors",3,3,1,3,3,1,0,31,1,3,0.000015
85,"arnett, edward b.",4,8,2,26,4,0.146301,0,0,1,6,0.000061
86,"arroyo, beatriz",6,8,2,6,6,0.185808,0.000274,0,0.733333,11,0.000168
87,"arthur, rohan",4,4,1,20,4,1,0,10,1,6,0.000025
88,"aryal, achyut",4,4,1,20,4,0.156867,0,0,1,6,0.000167
89,"asad, sami",8,10,2,6,8,0.147507,0.000137,0,0.821429,23,0.000872
90,"asbeck, thomas",4,4,1,4,4,1,0,32,1,6,0.000025
91,"ascensao, fernando",3,3,1,51,3,0.11804,0,0,1,3,0.000026
92,"ashe, erin",8,8,1,13,8,1,0,11,1,28,0.000122
93,"astaras, christos",4,4,1,3,4,0.163091,0,0,1,6,0.000129
94,"astrom, jens",9,9,1,1,9,1,0,33,1,36,0.000172
95,"athreya, vidya",5,5,1,42,5,0.153813,0,0,1,10,0.000085
96,"augugliaro, claudio",4,4,1,1,4,0.165982,0,0,1,6,0.00026
97,"aung, zarni",11,11,1,2,11,0.923077,0,34,1,55,0.000373
98,"ausband, david e.",1,1,1,0,1,1,0,35,0,0,0.000003
99,"authier, matthieu",8,8,1,0,8,1,0,36,1,28,0.000122
100,"awan, muhammad naeem",9,9,1,4,9,1,0,5,1,36,0.000172
101,"ayala, guido",7,7,1,1,7,0.157251,0,0,1,21,0.000103
102,"aylesworth, l.",3,3,1,6,3,1,0,37,1,3,0.000015
103,"aziz, rizwana",9,9,1,4,9,1,0,5,1,36,0.000172
104,"bagnall, keith e.",6,6,1,1,6,0.136473,0,0,1,15,0.000068
105,"bai, linzhuang",7,7,1,0,7,0.144729,0,0,1,21,0.000101
106,"bailey, amanda m.",3,3,1,12,3,0.129618,0,0,1,3,0.000069
107,"bailey, larissa l.",20,27,7,1098,20,0.226821,0.023043,0,0.257895,49,0.001152
108,"bajaru, sameer",7,7,2,7,7,1,0.000003,27,0.52381,11,0.000048
109,"baker, christopher c. m.",15,15,1,1,15,0.132372,0,0,1,105,0.001268
110,"baker-whatton, megan c.",7,7,1,37,7,0.182005,0,0,1,21,0.000409
111,"bal, gaelle",17,17,1,0,17,1,0,38,1,136,0.001946
112,"balaguera-reina, sergio a.",2,2,1,1,2,1,0,39,1,1,0.000008
113,"balangtaa, cletus",5,8,2,138,5,0.150666,0,0,1,10,0.000795
114,"baldwin, jim",6,6,1,13,6,1,0,40,1,15,0.000058
115,"baldwin, robert f.",6,10,4,28,6,0.517241,0.000005,41,0.4,6,0.000038
116,"balkenhol, niko",4,4,1,15,4,0.133547,0,0,1,6,0.000146
117,"ball-damerow, j. e.",3,3,1,13,3,1,0,42,1,3,0.000015
118,"balme, g. a.",12,12,2,26,12,0.170938,0.003278,0,0.515152,34,0.00212
119,"bancila, raluca ioana",3,3,1,7,3,0.6,0,43,1,3,0.000022
120,"bani, luciano",3,3,1,1,3,1,0,4,1,3,0.000015
121,"banks, w. taylor",3,3,1,0,3,0.111233,0,0,1,3,0.000027
122,"banner, katharine m.",5,5,1,41,5,0.571429,0,13,1,10,0.000089
123,"bar david, shirli",5,5,1,1,5,1,0,44,1,10,0.000039
124,"barao-nobrega, jose antonio lemos",2,2,1,2,2,1,0,45,1,1,0.000008
125,"barata, izabela m.",15,15,3,11,15,0.173646,0.003691,0,0.314286,33,0.000518
