Id,Label,links,total_link_strength,citations,degree.centr,closness.centr,betweeness.norm.centr,clustering,triangles,eigen.centr,component.number
14924,"mackenzie di, 2002, ecology, v83, p2248, doi 10.1890/0012-9658(2002)083[2248:esorwd]2.0.co;2",12463,17552,283,12463,0.649734,0.154342,0.008665,672875,1,0
14916,"mackenzie d. i., 2017, occupancy estimation",10544,14908,246,10544,0.621095,0.110341,0.010116,562291,0.875295,0
3450,"burnham k. p., 2010, model selection mult, v2",9759,12600,207,9759,0.609764,0.099162,0.010685,508734,0.787714,0
7643,"fiske ij, 2011, j stat softw, v43, p1",7096,8769,142,7096,0.573842,0.054082,0.013745,345999,0.562165,0
20975,"royle j.a., 2008, hierarchical modellin",6443,8897,144,6443,0.567626,0.041508,0.016459,341579,0.585173,0
20979,"royle ja, 2004, biometrics, v60, p108, doi 10.1111/j.0006-341x.2004.00142.x",5410,7016,117,5410,0.555578,0.039487,0.018006,263449,0.431723,0
14928,"mackenzie di, 2003, ecology, v84, p2200, doi 10.1890/02-3090",5886,7479,127,5886,0.560066,0.039062,0.017764,307662,0.565719,0
12682,"kery m., 2016, appl hierarchical mo, v1",5200,6402,99,5200,0.552525,0.034668,0.019298,260853,0.447892,0
6373,"dorazio rm, 2005, j am stat assoc, v100, p389, doi 10.1198/016214505000000015",5014,6882,105,5014,0.551094,0.020047,0.022363,281052,0.516759,0
26998,"zipkin ef, 2009, j appl ecol, v46, p815, doi 10.1111/j.1365-2664.2009.01664.x",4776,6556,95,4776,0.548434,0.018191,0.023484,267779,0.483345,0
20978,"royle ja, 2003, ecology, v84, p777, doi 10.1890/0012-9658(2003)084[0777:eafrpa]2.0.co;2",4338,5657,91,4338,0.542188,0.017686,0.026522,249490,0.50136,0
8556,"gelman a, 1992, stat sci, v7, p457, doi 10.1214/ss/1177011136",3520,4357,64,3520,0.533986,0.01685,0.02966,183700,0.346503,0
3111,"brooks sp, 1998, j comput graph stat, v7, p434, doi 10.2307/1390675",2990,3560,54,2990,0.527981,0.01596,0.033079,147817,0.279352,0
12671,"kery m, 2012, bayesian population analysis using winbugs: a hierarchical perspective, p1",3357,4039,62,3357,0.532598,0.014953,0.030967,174439,0.334045,0
14929,"mackenzie di, 2004, j agr biol envir st, v9, p300, doi 10.1198/108571104x3361",4222,4951,74,4222,0.53957,0.014489,0.023419,208680,0.388926,0
6374,"dorazio rm, 2006, ecology, v87, p842, doi 10.1890/0012-9658(2006)87[842:esraab]2.0.co;2",4030,5205,76,4030,0.539667,0.014261,0.02702,219362,0.412295,0
14917,"mackenzie d., 2006, occupancy estimation",3048,3445,55,3048,0.527733,0.014043,0.03267,151709,0.320625,0
14933,"mackenzie di, 2005, j appl ecol, v42, p1105, doi 10.1111/j.1365-2664.2005.01098.x",3571,4521,76,3571,0.532283,0.011229,0.027218,173492,0.372717,0
26999,"zipkin ef, 2010, biol conserv, v143, p479, doi 10.1016/j.biocon.2009.11.016",3447,4559,66,3447,0.532105,0.009574,0.032118,190754,0.382775,0
8589,"gelman a., 2007, regression other sto, doi 10.1017/9781139161879",2730,3303,52,2730,0.525988,0.008855,0.036276,135132,0.287553,0
8557,"gelman a, 1996, stat sinica, v6, p733",2110,2458,35,2110,0.518047,0.008098,0.048821,108627,0.246944,0
12658,"kery m, 2008, j appl ecol, v45, p589, doi 10.1111/j.1365-2664.2007.01441.x",2834,3562,49,2834,0.525038,0.007209,0.038956,156383,0.321522,0
20989,"royle ja, 2007, ecology, v88, p1813, doi 10.1890/06-0669.1",2504,3010,49,2504,0.523189,0.006967,0.039304,123169,0.274061,0
14930,"mackenzie di, 2004, j anim ecol, v73, p546, doi 10.1111/j.0021-8790.2004.00828.x",2441,2891,43,2441,0.521535,0.006793,0.049348,146959,0.3331,0
10981,"hooten mb, 2015, ecol monogr, v85, p3, doi 10.1890/14-0661.1",2018,2449,36,2018,0.517225,0.006191,0.05051,102796,0.234244,0
11346,"iknayan kj, 2014, trends ecol evol, v29, p97, doi 10.1016/j.tree.2013.10.012",2246,2733,42,2246,0.519141,0.006162,0.043829,110500,0.242054,0
3081,"broms km, 2016, ecology, v97, p1759, doi 10.1890/15-1471.1",2384,2904,41,2384,0.521394,0.005955,0.044804,127268,0.279819,0
6400,"dormann cf, 2013, ecography, v36, p27, doi 10.1111/j.1600-0587.2012.07348.x",2082,2357,33,2082,0.515293,0.005711,0.048299,104631,0.239614,0
20851,"rota ct, 2009, j appl ecol, v46, p1173, doi 10.1111/j.1365-2664.2009.01734.x",2171,2601,43,2171,0.518574,0.005591,0.044764,105444,0.254357,0
5747,"de valpine p, 2017, j comput graph stat, v26, p403, doi 10.1080/10618600.2016.1172487",1208,1280,17,1208,0.507431,0.0052,0.0812,59197,0.127422,0
17526,"nichols jd, 2008, j appl ecol, v45, p1321, doi 10.1111/j.1365-2664.2008.01509.x",1999,2401,42,1999,0.517492,0.005143,0.045063,89990,0.234585,0
27059,"zuur alain f., 2009, p1",1156,1227,16,1156,0.506756,0.004569,0.082599,55142,0.137645,0
3285,"buckland s.t., 2001, pi",1730,2160,38,1730,0.514176,0.004544,0.052418,78396,0.188884,0
17185,"myers n, 2000, nature, v403, p853, doi 10.1038/35002501",2140,2514,35,2140,0.515372,0.004463,0.049655,113646,0.255606,0
8597,"gelman a., 2014, bayesian data anal, v3rd ed., doi [10.1007/s13398-014-0173-7.2, doi 10.1201/b16018]",1981,2473,38,1981,0.516484,0.004442,0.05136,100727,0.245222,0
23413,"sturtz s, 2005, j stat softw, v12, p1, doi 10.18637/jss.v012.i03",2173,2706,43,2173,0.51956,0.004413,0.046141,108888,0.272511,0
25966,"white gc, 1999, bird study, v46, p120, doi 10.1080/00063659909477239",1834,2157,40,1834,0.514734,0.00429,0.042042,70667,0.188082,0
5438,"dail d, 2011, biometrics, v67, p577, doi 10.1111/j.1541-0420.2010.01465.x",1617,2029,38,1617,0.513074,0.003932,0.052254,68272,0.161825,0
20367,"ripple wj, 2014, science, v343, p151, doi 10.1126/science.1241484",2093,2856,42,2093,0.516001,0.003876,0.054927,120251,0.269244,0
26161,"williams b.k., 2002, anal management anim",2069,2711,50,2069,0.51768,0.003728,0.044098,94340,0.234732,0
828,"arnold tw, 2010, j wildlife manage, v74, p1175, doi 10.2193/2009-367",1750,1952,30,1750,0.511385,0.0037,0.051501,78816,0.190582,0
20244,"richmond omw, 2010, ecol appl, v20, p2036, doi 10.1890/09-0470.1",1764,2147,34,1764,0.513541,0.003593,0.053256,82811,0.190166,0
12675,"kery m., 2010, intro winbugs ecolog",1749,2119,30,1749,0.515676,0.003346,0.062176,95044,0.226154,0
9966,"hanson ma, 2012, science, v335, p851, doi [10.1126/science.1215904 10.1126/science.1244693]",1696,1944,27,1696,0.511598,0.003201,0.060162,86474,0.202358,0
26756,"yoccoz ng, 2001, trends ecol evol, v16, p446, doi 10.1016/s0169-5347(01)02205-4",1788,2281,43,1788,0.515971,0.003163,0.050013,79899,0.226222,0
14936,"mackenzie di, 2009, ecology, v90, p823, doi 10.1890/08-0141.1",1535,1721,27,1535,0.509871,0.003091,0.058749,69168,0.174869,0
24538,"tyre aj, 2003, ecol appl, v13, p1790, doi 10.1890/02-5078",2124,2702,45,2124,0.51969,0.00309,0.045989,103689,0.262278,0
9525,"gu wd, 2004, biol conserv, v116, p195, doi 10.1016/s0006-3207(03)00190-3",1821,2237,35,1821,0.515794,0.003067,0.064309,106567,0.275578,0
14737,"lunn dj, 2000, stat comput, v10, p325, doi 10.1023/a:1008929526011",1721,2017,32,1721,0.515706,0.002858,0.055804,82594,0.215343,0
13320,"kuo l., 1998, sankhy indian j stat, v60, p65",938,1034,17,938,0.505175,0.00284,0.097822,42988,0.14224,0
13781,"lebreton jd, 1992, ecol monogr, v62, p67, doi 10.2307/2937171",914,985,18,914,0.500342,0.002776,0.087947,36695,0.090424,0
23426,"su y. s., 2012, r2jags package runni",526,537,8,526,0.493026,0.002642,0.151041,20855,0.069357,0
20856,"rota ct, 2016, methods ecol evol, v7, p1164, doi 10.1111/2041-210x.12587",1304,1531,24,1304,0.506718,0.00263,0.072917,61947,0.153259,0
7198,"fahrig l, 2003, annu rev ecol evol s, v34, p487, doi 10.1146/annurev.ecolsys.34.011802.132419",1439,1582,23,1439,0.51042,0.002615,0.067108,69433,0.179371,0
6773,"efford mg, 2012, ecosphere, v3, doi 10.1890/es11-00308.1",1485,1784,29,1485,0.511047,0.002427,0.066176,72917,0.213393,0
27000,"zipkin ef, 2012, ecol appl, v22, p1962, doi 10.1890/11-1936.1",1489,1704,24,1489,0.512772,0.002346,0.066556,73732,0.189535,0
25616,"watanabe s, 2010, j mach learn res, v11, p3571",808,861,10,808,0.497498,0.002344,0.125446,40899,0.097336,0
9576,"guisan a, 2005, ecol lett, v8, p993, doi 10.1111/j.1461-0248.2005.00792.x",1540,1841,25,1540,0.512276,0.002225,0.072543,85966,0.225518,0
1383,"barker rj, 2018, biometrics, v74, p369, doi 10.1111/biom.12734",1416,1776,29,1416,0.510141,0.002207,0.066427,66548,0.14954,0
17547,"niedballa j, 2016, methods ecol evol, v7, p1457, doi 10.1111/2041-210x.12600",1253,1431,20,1253,0.504817,0.002136,0.078701,61731,0.153016,0
14281,"link wa, 2018, ecology, v99, p1547, doi 10.1002/ecy.2362",1301,1580,25,1301,0.508864,0.002135,0.075621,63949,0.15635,0
16383,"miller da, 2011, ecology, v92, p1422, doi 10.1890/10-1396.1",1366,1672,28,1366,0.509429,0.00208,0.067076,62535,0.175295,0
17525,"nichols jd, 2007, ecology, v88, p1395, doi 10.1890/06-1474",1136,1298,21,1136,0.50687,0.00198,0.074224,47851,0.139313,0
10683,"hines je, 2010, ecol appl, v20, p1456, doi 10.1890/09-0321.1",1414,1662,28,1414,0.511734,0.001976,0.064374,64309,0.186955,0
14932,"mackenzie di, 2005, ecology, v86, p1101, doi 10.1890/04-1060",1397,1607,24,1397,0.511259,0.001905,0.072491,70686,0.194881,0
24234,"tobler mw, 2015, j appl ecol, v52, p413, doi 10.1111/1365-2664.12399",1516,1864,26,1516,0.507289,0.001901,0.072457,83208,0.197494,0
3481,"burton ac, 2015, j appl ecol, v52, p675, doi 10.1111/1365-2664.12432",1420,1763,29,1420,0.509631,0.001889,0.070571,71100,0.20421,0
23202,"stevens dl, 2004, j am stat assoc, v99, p262, doi 10.1198/016214504000000250",1444,1638,21,1444,0.507946,0.001878,0.094155,98095,0.24328,0
13849,"legendre p., 1998, numerical ecology el",393,402,5,393,0.474403,0.001863,0.227619,17533,0.044035,0
23884,"tews j, 2004, j biogeogr, v31, p79, doi 10.1046/j.0305-0270.2003.00994.x",1397,1596,20,1397,0.508567,0.001826,0.076653,74745,0.167153,0
