Id,Label,Name,number.links,total.link.strength,documents,citations,degree,n.betweeness
1899,"rich, l. n.",rich ln,70,74,5,178,70,0.036625
1982,"royle, j. andrew",royle ja,60,68,18,4559,60,0.066202
285,"broekhuis, femke",broekhuis f,55,57,4,16,55,0.011209
1487,"miller, david",miller d,54,65,10,322,54,0.068264
2141,"snyman, andrei",snyman a,46,46,2,15,46,0.006914
1461,"mcnutt, j. weldon",mcnutt jw,44,45,2,92,44,0.007699
2283,"tobler, mathias w.",tobler mw,44,44,2,116,44,0.001155
794,"gielen, marie-charlotte",gielen mc,43,45,2,3,43,0.000256
1164,"klein, rebecca",klein r,43,47,3,32,43,0.000256
2258,"thapa, kanchan",thapa k,43,45,3,72,43,0.009093
2331,"van der weyde, leanne k.",van der weyde lk,43,47,3,32,43,0.000256
11,"adams, tempe",adams t,41,41,1,3,41,0
897,"harmsen, bart j.",,41,41,2,100,41,0.010391
141,"bauer, dominik",,41,41,1,3,41,0
169,"bennitt, emily",,41,41,1,3,41,0
255,"bowles, matthew",,41,41,1,3,41,0
264,"brassine, alienor",,41,41,1,3,41,0
377,"chase, michael",,41,41,1,3,41,0
420,"collins, kai",,41,41,1,3,41,0
461,"cozzi, gabriele",,41,41,1,3,41,0
690,"finerty, genevieve e.",,41,41,1,3,41,0
705,"flyman, michael, v",,41,41,1,3,41,0
821,"golabek, krystyna",,41,41,1,3,41,0
906,"hartley, robyn",,41,41,1,3,41,0
931,"henley, steve",,41,41,1,3,41,0
1029,"isden, jessica",,41,41,1,3,41,0
1116,"keeping, derek",,41,41,1,3,41,0
1130,"kesch, kristina",,41,41,1,3,41,0
1174,"kokole, morulaganyi",,41,41,1,3,41,0
1181,"kotze, robynne",,41,41,1,3,41,0
1239,"leflore, eric",,41,41,1,3,41,0
1430,"maude, glyn",,41,41,1,3,41,0
1452,"mcfarlane, kevin",,41,41,1,3,41,0
1492,"mills, gus",,41,41,1,3,41,0
1528,"morapedi, mompoloi",,41,41,1,3,41,0
1534,"morgan, simon",,41,41,1,3,41,0
1603,"ngaka, keitumetse",,41,41,1,3,41,0
1832,"proust, nicolas",,41,41,1,3,41,0
1956,"roodbal, marnus",,41,41,1,3,41,0
2070,"selebatso, moses",,41,41,1,3,41,0
2173,"stein, andrew",,41,41,1,3,41,0
2214,"sutcliff, robert",,41,41,1,3,41,0
2303,"tshimologo, botilo",,41,41,1,3,41,0
2419,"weise, florian j.",,41,41,1,3,41,0
2441,"whitesell, carolyn",,41,41,1,3,41,0
2472,"winterbach, christiaan",,41,41,1,3,41,0
2534,"zipkin, e. f.",zipkin ef,39,46,13,532,39,0.042878
2147,"sollmann, rahel",,37,41,6,80,37,0.010268
961,"hines, j. e.",hines je,35,39,8,572,35,0.026497
436,"conze, klaus-juergen",,35,35,2,64,35,0.007965
1123,"kelly, marcella j.",,35,45,6,219,35,0.004017
477,"cruz, paula",,34,36,2,69,34,0.002614
550,"di bitetti, mario s.",,34,36,2,69,34,0.002614
1737,"paviolo, agustin",,34,36,2,69,34,0.002614
1333,"macdonald, d. w.",macdonald dw,33,38,8,154,33,0.023955
683,"ficetola, gentile francesco",,33,47,6,70,33,0.000064
1609,"nichols, j. d.",nichols jd,32,40,10,5392,32,0.054785
1806,"popescu, viorel d.",,32,34,5,32,32,0.008557
2073,"semper-pascual, asuncion",,32,39,4,45,32,0.006715
1129,"kery, marc",,31,37,11,705,31,0.008021
1926,"robinson, h. s.",,30,31,4,150,30,0.014296
2467,"wilting, andreas",,30,46,5,15,30,0.003771
1027,"isaac, nick j. b.",,29,29,3,311,29,0.016805
664,"farris, zach j.",,29,37,4,129,29,0.001892
1045,"jansen, patrick a.",,28,28,2,13,28,0.012218
1674,"olmos, melva",,28,28,2,45,28,0.011878
2170,"steenweg, robin",,28,29,3,111,28,0.005112
1975,"rovero, f.",rovero f,27,31,5,43,27,0.024955
1463,"mcshea, william j.",,27,39,8,211,27,0.016843
505,"davis, courtney l.",,27,28,2,95,27,0.002458
