Id,Label,Name,Name2,number.links,total.link.strength,citations,degree,n.betweeness
14826,"mackenzie di, 2002, ecology, v83, p2248, doi 10.1890/0012-9658(2002)083[2248:esorwd]2.0.co;2",1,"MacKenzie et al, 2002",12525,17569,279,12525,0.170461
14818,"mackenzie d. i., 2017, occupancy estimation",2,"MacKenzie et al, 2017",10113,14216,231,10113,0.109727
7733,"fiske ij, 2011, j stat softw, v43, p1",3,"Fiske and Chandler, 2011",6894,8457,135,6894,0.057916
20705,"royle ja, 2004, biometrics, v60, p108, doi 10.1111/j.0006-341x.2004.00142.x",7,"Royle, 2004",5412,7009,116,5412,0.042762
20701,"royle j.a., 2008, hierarchical modellin",4,"Royle and Dorazio, 2008",6342,8588,137,6342,0.042686
14830,"mackenzie di, 2003, ecology, v84, p2200, doi 10.1890/02-3090",5,"MacKenzie et al, 2003",5759,7278,122,5759,0.042169
12632,"kery m., 2016, appl hierarchical mo, v1",8,"Kery and Royle, 2016",5141,6319,97,5141,0.03599
3641,"burnham k. p., 2002, model selection infe, v2nd ed., p488, doi 10.1007/b97636",6,"Burnham and Anderson (ed), 2004",5577,7019,121,5577,0.035172
6494,"dorazio rm, 2005, j am stat assoc, v100, p389, doi 10.1198/016214505000000015",9,"Dorazio and Royle, 2005",5035,6873,104,5035,0.021471
26546,"zipkin ef, 2009, j appl ecol, v46, p815, doi 10.1111/j.1365-2664.2009.01664.x",10,"Zipkin et al, 2009",4806,6554,94,4806,0.019529
8615,"gelman a, 1992, stat sci, v7, p457, doi 10.1214/ss/1177011136",15,"Gelman and Rubin, 1992",3547,4382,64,3547,0.018032
3644,"burnham k. p., 2010, model selection mult, v2. ed",14,"Burnham and Anderson (ed), 2010",3703,4182,59,3703,0.017234
3312,"brooks sp, 1998, j comput graph stat, v7, p434, doi 10.2307/1390675",19,"Brooks and Gelman, 1998",2975,3535,53,2975,0.017039
14831,"mackenzie di, 2004, j agr biol envir st, v9, p300, doi 10.1198/108571104x3361",11,"MacKenzie and Bailey, 2004",4166,4869,72,4166,0.016651
12618,"kery m, 2012, bayesian population analysis using winbugs: a hierarchical perspective, p1",18,"Kery and Schaub, 2012",3321,3978,61,3321,0.016143
20704,"royle ja, 2003, ecology, v84, p777, doi 10.1890/0012-9658(2003)084[0777:eafrpa]2.0.co;2",12,"Royle and Nichols, 2003",4088,5307,85,4088,0.016051
6495,"dorazio rm, 2006, ecology, v87, p842, doi 10.1890/0012-9658(2006)87[842:esraab]2.0.co;2",13,"Dorazio et. al, 2006",4037,5183,75,4037,0.015233
14835,"mackenzie di, 2005, j appl ecol, v42, p1105, doi 10.1111/j.1365-2664.2005.01098.x",16,"MacKenzie and Royle, 2005",3433,4315,73,3433,0.011798
14819,"mackenzie d., 2006, occupancy estimation",20,"MacKenzie et al, 2006",2560,2825,42,2560,0.010901
