Element,h_index,g_index,m_index,TC,NP,PY_start
DIVERSITY AND DISTRIBUTIONS,14,21,1.077,514,36,2011
JOURNAL OF WILDLIFE MANAGEMENT,14,28,0.737,821,36,2005
ECOSPHERE,13,16,1,350,35,2011
BIOLOGICAL CONSERVATION,19,28,1,834,33,2005
ECOLOGY AND EVOLUTION,10,15,0.909,260,30,2013
PLOS ONE,14,23,1.167,584,28,2012
JOURNAL OF APPLIED ECOLOGY,13,24,0.813,1497,24,2008
FOREST ECOLOGY AND MANAGEMENT,10,13,0.833,223,22,2012
ECOLOGICAL APPLICATIONS,9,20,0.429,974,20,2003
ECOLOGY,16,19,0.727,5713,19,2002
LANDSCAPE ECOLOGY,7,12,0.412,168,16,2007
ANIMAL CONSERVATION,8,14,0.667,206,15,2012
CONSERVATION BIOLOGY,8,13,0.727,272,13,2013
GLOBAL ECOLOGY AND CONSERVATION,4,7,0.8,55,13,2019
ECOGRAPHY,9,12,0.692,211,12,2011
CONDOR,7,10,0.778,108,10,2015
ECOLOGICAL INDICATORS,7,9,0.583,98,10,2012
BIODIVERSITY AND CONSERVATION,5,8,0.385,72,10,2011
WILDLIFE RESEARCH,5,7,0.455,60,10,2013
JOURNAL OF ANIMAL ECOLOGY,7,9,0.35,533,9,2004
JOURNAL OF MAMMALOGY,6,9,0.857,89,9,2017
FRESHWATER BIOLOGY,5,7,0.333,135,7,2009
MAMMALIAN BIOLOGY,4,7,0.333,104,7,2012
WILDLIFE BIOLOGY,3,5,0.231,27,7,2011
FRONTIERS IN ECOLOGY AND EVOLUTION,2,6,0.333,38,7,2018
URBAN ECOSYSTEMS,2,7,0.286,51,7,2017
AUK,6,6,0.286,233,6,2003
AVIAN CONSERVATION AND ECOLOGY,4,6,0.286,52,6,2010
ORYX,4,6,0.364,63,6,2013
SCIENTIFIC REPORTS,4,6,0.5,98,6,2016
METHODS IN ECOLOGY AND EVOLUTION,5,5,0.5,185,5,2014
JOURNAL OF ZOOLOGY,4,5,0.364,97,5,2013
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,3,5,0.5,26,5,2018
AUSTRAL ECOLOGY,3,5,0.375,30,5,2016
JOURNAL OF FISH AND WILDLIFE MANAGEMENT,3,4,0.3,19,5,2014
MAMMAL RESEARCH,3,5,0.375,38,5,2016
BIOLOGICAL INVASIONS,2,4,0.2,22,5,2014
NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT,4,4,0.5,30,4,2016
TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY,3,4,0.231,55,4,2011
HERPETOLOGICAL CONSERVATION AND BIOLOGY,2,2,0.4,6,4,2019
PEERJ,2,4,0.286,17,4,2017
WILDLIFE SOCIETY BULLETIN,2,4,0.167,27,4,2012
BASIC AND APPLIED ECOLOGY,3,3,0.5,31,3,2018
BIOTROPICA,2,3,0.286,10,3,2017
CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,2,3,0.333,34,3,2018
ECOLOGICAL MODELLING,2,3,0.25,13,3,2016
HYDROBIOLOGIA,2,3,0.286,14,3,2017
JOURNAL OF HERPETOLOGY,2,3,0.133,27,3,2009
OIKOS,2,3,0.167,60,3,2012
PERSPECTIVES IN ECOLOGY AND CONSERVATION,2,3,0.333,12,3,2018
RESTORATION ECOLOGY,2,3,0.182,13,3,2013
WETLANDS,2,3,0.2,28,3,2014
DIVERSITY-BASEL,1,1,0.333,2,3,2021
ENDANGERED SPECIES RESEARCH,1,2,0.2,7,3,2019
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,2,2,0.4,17,2,2019
AFRICAN JOURNAL OF WILDLIFE RESEARCH,2,2,0.25,17,2,2016
ANNALES ZOOLOGICI FENNICI,2,2,0.143,14,2,2010
BIOMETRICS,2,2,0.154,256,2,2011
CANADIAN JOURNAL OF ZOOLOGY,2,2,0.2,65,2,2014
ECOLOGICAL MONOGRAPHS,2,2,0.118,173,2,2007
EUROPEAN JOURNAL OF WILDLIFE RESEARCH,2,2,0.154,54,2,2011
GLOBAL CHANGE BIOLOGY,2,2,0.222,60,2,2015
GLOBAL ECOLOGY AND BIOGEOGRAPHY,2,2,0.286,77,2,2017
HERPETOLOGICA,2,2,0.25,9,2,2016
JOURNAL OF FIELD ORNITHOLOGY,2,2,0.286,7,2,2017
JOURNAL OF INSECT CONSERVATION,2,2,0.125,67,2,2008
POPULATION ECOLOGY,2,2,0.286,12,2,2017
WETLANDS ECOLOGY AND MANAGEMENT,2,2,0.2,17,2,2014
ACTA CHIROPTEROLOGICA,1,2,0.167,5,2,2018
