"Paper","DOI","Total Citations","TC per Year","Normalized TC"
"MACKENZIE DI, 2002, ECOLOGY","10.2307/3072056","3047","138.50","1.94"
"MACKENZIE DI, 2003, ECOLOGY","10.1890/02-3090","1184","56.38","1.94"
"TYRE AJ, 2003, ECOL APPL","10.1890/02-5078","539","25.67","0.88"
"MACKENZIE DI, 2004, J ANIM ECOL","10.1111/j.0021-8790.2004.00828.x","310","15.50","1.00"
"MACKENZIE DI, 2005, ECOLOGY","10.1890/04-1060","304","16.00","1.62"
"ROYLE JA, 2007, ECOLOGY","10.1890/06-0669.1","303","17.82","2.77"
"WOODCOCK BA, 2016, NAT COMMUN","10.1038/ncomms12459","269","33.63","10.41"
"NICHOLS JD, 2008, J APPL ECOL","10.1111/j.1365-2664.2008.01509.x","258","16.13","1.74"
"DAIL D, 2011, BIOMETRICS","10.1111/j.1541-0420.2010.01465.x","252","19.38","3.94"
"VAN STRIEN AJ, 2013, J APPL ECOL","10.1111/1365-2664.12158","236","21.45","6.55"
"ZIPKIN EF, 2009, J APPL ECOL","10.1111/j.1365-2664.2009.01664.x","233","15.53","2.51"
"ROTA CT, 2009, J APPL ECOL","10.1111/j.1365-2664.2009.01734.x","191","12.73","2.05"
"PELLET J, 2005, BIOL CONSERV","10.1016/j.biocon.2004.10.005","160","8.42","0.85"
"CHANDLER RB, 2011, ECOLOGY","10.1890/10-2433.1","157","12.08","2.45"
"O'CONNELL AF, 2006, J WILDLIFE MANAGE","10.2193/0022-541X(2006)70[1625:ESOADP]2.0.CO;2","148","8.22","2.13"
"NICHOLS JD, 2007, ECOLOGY","10.1890/06-1474","146","8.59","1.34"
"GARDNER B, 2010, ECOLOGY","10.1890/09-0804.1","134","9.57","2.97"
"LESMEISTER DB, 2015, WILDLIFE MONOGR","10.1002/wmon.1015","131","14.56","4.87"
"ROYLE JA, 2007, ECOL MONOGR","10.1890/06-0912.1","129","7.59","1.18"
"TOBLER MW, 2015, J APPL ECOL","10.1111/1365-2664.12399","113","12.56","4.20"
"AHUMADA JA, 2013, PLOS ONE","10.1371/journal.pone.0073707","113","10.27","3.14"
"NORVELL RE, 2003, AUK","10.1642/0004-8038(2003)120[1013:ASCORA]2.0.CO;2","106","5.05","0.17"
"ROTA CT, 2016, METHODS ECOL EVOL","10.1111/2041-210X.12587","103","12.88","3.99"
"CHEN GK, 2013, J ECOL","10.1111/1365-2745.12021","102","9.27","2.83"
"BURTON AC, 2012, PLOS ONE","10.1371/journal.pone.0038007","102","8.50","2.86"
"GARDNER B, 2010, J WILDLIFE MANAGE","10.2193/2009-101","99","7.07","2.19"
"MOORE JE, 2005, J WILDLIFE MANAGE","10.2193/0022-541X(2005)069[0933:MPOBFR]2.0.CO;2","99","5.21","0.53"
"BRODIE JF, 2015, CONSERV BIOL","10.1111/cobi.12337","97","10.78","3.60"
"RICH LN, 2016, J APPL ECOL","10.1111/1365-2664.12650","89","11.13","3.44"
"ZUCKERBERG B, 2011, J ANIM ECOL","10.1111/j.1365-2656.2010.01780.x","88","6.77","1.38"
"SAUER JR, 2002, ECOLOGY","10.2307/3071992","88","4.00","0.06"
"ZIPKIN EF, 2012, ECOL APPL","10.1890/11-1936.1","86","7.17","2.41"
"ZIPKIN EF, 2014, ECOLOGY","10.1890/13-1131.1","83","8.30","3.59"
"SILLETT TS, 2012, ECOL APPL","10.1890/11-1400.1","83","6.92","2.33"
"MORDECAI RS, 2011, J APPL ECOL","10.1111/j.1365-2664.2010.01921.x","80","6.15","1.25"
"ROTA CT, 2011, ECOGRAPHY","10.1111/j.1600-0587.2010.06433.x","78","6.00","1.22"
"BLED F, 2011, ECOL APPL","10.1890/09-1877.1","78","6.00","1.22"
"FURNAS BJ, 2015, J WILDLIFE MANAGE","10.1002/jwmg.821","75","8.33","2.79"
"GARDNER B, 2009, ECOLOGY","10.1890/07-2112.1","75","5.00","0.81"
"NARANGO DL, 2017, BIOL CONSERV","10.1016/j.biocon.2017.06.029","73","10.43","4.57"
"AMUNDSON CL, 2014, AUK","10.1642/AUK-14-11.1","69","6.90","2.98"
"DUGGER KM, 2011, ECOL APPL","10.1890/10-2142.1","69","5.31","1.08"
"RICH LN, 2017, GLOBAL ECOL BIOGEOGR","10.1111/geb.12600","68","9.71","4.26"
"CHANDLER RB, 2015, J APPL ECOL","10.1111/1365-2664.12481","68","7.56","2.53"
"BISCHOF R, 2014, J ZOOL","10.1111/jzo.12100","66","6.60","2.85"
"MILLER DAW, 2012, J ANIM ECOL","10.1111/j.1365-2656.2012.02001.x","64","5.33","1.79"
"SOLLMANN R, 2012, MAMM BIOL","10.1016/j.mambio.2011.06.011","64","5.33","1.79"
"SEMLITSCH RD, 2014, CAN J ZOOL","10.1139/cjz-2014-0141","63","6.30","2.72"
"PAVLACKY DC, 2012, J WILDLIFE MANAGE","10.1002/jwmg.245","57","4.75","1.60"
"WEARN OR, 2017, BIOL CONSERV","10.1016/j.biocon.2017.05.007","55","7.86","3.45"
"THOGMARTIN WE, 2007, LANDSCAPE ECOL","10.1007/s10980-006-9005-2","55","3.24","0.50"
