"region","Freq"
"USA","1244"
"UK","110"
"AUSTRALIA","95"
"CANADA","89"
"GERMANY","70"
"BRAZIL","66"
"ITALY","62"
"SOUTH AFRICA","58"
"SPAIN","50"
"SWITZERLAND","47"
"ARGENTINA","44"
"FRANCE","41"
"INDIA","39"
"CHINA","33"
"NETHERLANDS","25"
"NORWAY","25"
"MALAYSIA","24"
"NEPAL","24"
"COLOMBIA","22"
"MEXICO","22"
"BOTSWANA","19"
"NEW ZEALAND","18"
"PORTUGAL","18"
"CHILE","16"
"JAPAN","14"
"ROMANIA","13"
"SWEDEN","13"
"KENYA","11"
"PAKISTAN","10"
"PANAMA","10"
"HUNGARY","8"
"BHUTAN","6"
"ECUADOR","6"
"FINLAND","6"
"IRELAND","6"
"PERU","6"
"RWANDA","6"
"TANZANIA","6"
"DENMARK","5"
"INDONESIA","5"
"MADAGASCAR","5"
"POLAND","5"
"BELGIUM","4"
"CAMBODIA","4"
"MONGOLIA","4"
"THAILAND","4"
"GHANA","3"
"BANGLADESH","2"
"COSTA RICA","2"
"GREECE","2"
"ISRAEL","2"
"PARAGUAY","2"
"SINGAPORE","2"
"UGANDA","2"
"VIETNAM","2"
"BELIZE","1"
"BOLIVIA","1"
"CAMEROON","1"
"CUBA","1"
"CYPRUS","1"
"CZECH REPUBLIC","1"
"ETHIOPIA","1"
"GABON","1"
"IRAN","1"
"LAOS","1"
"MOZAMBIQUE","1"
"MYANMAR","1"
"NAMIBIA","1"
"SENEGAL","1"
"SLOVENIA","1"
"TAJIKISTAN","1"
"TURKEY","1"
