"Authors","Articles","Articles Fractionalized"
"ROYLE JA","18","4.47"
"ZIPKIN EF","13","3.13"
"KERY M","11","2.88"
"FURNAS BJ","10","4.20"
"MILLER DAW","10","1.78"
"NICHOLS JD","10","2.24"
"HINES JE","9","1.75"
"MACDONALD DW","8","1.53"
"MACKENZIE DI","8","1.93"
"MCSHEA WJ","8","1.54"
"BAILEY LL","7","1.64"
"GARDNER B","7","1.49"
"ROTA CT","7","1.26"
"SUTHERLAND C","7","1.92"
"BELANT JL","6","1.20"
"BLED F","6","1.50"
"COLLAZO JA","6","1.75"
"FICETOLA GF","6","0.81"
"GRANT EHC","6","1.34"
"KELLY MJ","6","1.00"
"LEE MB","6","2.23"
"SCHMIDT JH","6","1.57"
"SOLLMANN R","6","0.92"
"WADDLE JH","6","1.59"
"ALTWEGG R","5","1.92"
"CALVO JF","5","1.07"
"FALASCHI M","5","0.75"
"FLETCHER RJ","5","1.03"
"HOSSACK BR","5","1.59"
"KROLL AJ","5","1.19"
"LATIF QS","5","1.15"
"LUKACS PM","5","1.43"
"MILLSPAUGH JJ","5","0.68"
"NIELSEN CK","5","1.20"
"POPESCU VD","5","0.84"
"RICH LN","5","0.77"
"ROLOFF GJ","5","1.53"
"ROVERO F","5","1.00"
"SIEGEL RB","5","1.06"
"THOMPSON FR","5","1.50"
"WILTING A","5","0.57"
"BALDWIN RF","4","1.25"
"BETTS MG","4","1.58"
"BEYER DE","4","0.64"
"BRASHARES JS","4","0.92"
"BROEKHUIS F","4","0.76"
"CARBONE C","4","0.58"
"CHANDLER RB","4","0.81"
"COHEN JB","4","0.75"
"COSTA A","4","1.20"
"DREITZ VJ","4","1.28"
"FARRIS ZJ","4","0.60"
"FISHER JT","4","1.42"
"FLEISHMAN E","4","1.09"
"FORRESTER TD","4","0.64"
"GOIJMAN AP","4","0.75"
"HAMER AJ","4","2.53"
"HOMYACK JA","4","1.00"
"IRVINE KM","4","0.83"
"JIMENEZ J","4","0.67"
"JIMENEZ-FRANCO MV","4","0.82"
"KAYS RW","4","0.56"
"KELLNER KF","4","0.68"
"MANENTI R","4","0.50"
"MAZEROLLE MJ","4","0.92"
"MCCLEERY RA","4","0.78"
"MORTELLITI A","4","1.84"
"MUTHS E","4","0.78"
"PARSONS AW","4","0.56"
"PENJOR U","4","1.03"
"PETERMAN WE","4","1.03"
"PRIOTTO JW","4","0.90"
"ROBINSON HS","4","0.62"
"RODHOUSE TJ","4","0.68"
"ROWCLIFFE JM","4","0.63"
"SALVIDIO S","4","1.20"
"SCHAUBER EM","4","1.00"
"SCHMIDT BR","4","1.25"
"SEMPER-PASCUAL A","4","0.44"
"SILLETT TS","4","0.74"
"STEVENS BS","4","1.36"
"SWIHART RK","4","1.53"
"ABRAMS JF","3","0.39"
"AHUMADA JA","3","0.53"
"AMUNDSON CL","3","0.78"
"BARATA IM","3","0.54"
"BLOMBERG EJ","3","0.87"
"BRANDT LA","3","0.42"
"BREININGER DR","3","0.50"
"BRODIE JF","3","1.13"
"CODA JA","3","0.57"
"COLE JS","3","0.56"
"COLLEN B","3","0.43"
"CONWAY CJ","3","1.11"
"DECARRE J","3","0.39"
"DOWNS CT","3","1.00"
"DUGGER KM","3","0.73"
"FARR MT","3","0.78"
"FERRAZ G","3","0.69"
"FERREGUETTI AC","3","0.75"
"FORSYTH DM","3","0.63"
"FRAIR JL","3","0.55"
"GIOVANINI J","3","0.53"
"GOMEZ MD","3","0.70"
"GREEN AM","3","0.69"
"GUHARAJAN R","3","0.28"
"GUTIERREZ RJ","3","0.95"
"HART KM","3","0.35"
"HAUGAASEN T","3","0.56"
"HELLGREN EC","3","0.75"
"HOOTEN MB","3","0.75"
"HUNTER LTB","3","0.62"
"IOSIF R","3","0.53"
"ISAAC NJB","3","0.36"
"IVAN JS","3","0.78"
"JANOUSEK WM","3","0.81"
"JONES JE","3","0.53"
"KARPANTY SM","3","0.58"
"KING DI","3","1.17"
"KISSING J","3","0.30"
"KLEIN R","3","0.56"
"KUEMMERLE T","3","0.39"
"LAMICHHANE BR","3","0.45"
"LESMEISTER DB","3","0.75"
"LINDBERG MS","3","0.70"
"LINDEN DW","3","1.00"
"LO PARRINO E","3","0.30"
"MADHUSUDAN MD","3","0.59"
"MAJOR RE","3","0.57"
"MARRA PP","3","0.79"
"MAZZOTTI FJ","3","0.42"
"MOLL RJ","3","0.64"
"MONTGOMERY RA","3","0.43"
"MURARO M","3","0.30"
"NICHOLSON E","3","0.35"
"O'RIAIN MJ","3","1.17"
"OBEROSLER V","3","0.70"
"PACIFICI K","3","0.67"
"PAVLACKY DC","3","0.78"
"PELLET J","3","1.67"
"PETERSON JT","3","0.74"
"PETRACCA LS","3","0.39"
"PILLAY R","3","0.59"
"PORTER WF","3","1.00"
"RAMESH T","3","1.00"
"RAMSEY DSL","3","0.63"
"SANTOS-REIS M","3","0.67"
"SAUER JR","3","0.87"
"SEMLITSCH RD","3","0.87"
"SERAFINI VN","3","0.70"
"SHEA CP","3","0.87"
"SIGAFUS BH","3","0.34"
"SOVIE AR","3","0.71"
"STEENWEG R","3","0.54"
"STOLEN ED","3","0.50"
"TENAN S","3","0.67"
"THAPA K","3","0.21"
"TINGLEY MW","3","0.58"
"TRUEX RL","3","0.70"
"VAN DER WEYDE LK","3","0.56"
"VAN STRIEN AJ","3","0.64"
"WALLS SC","3","0.64"
"WECKERLY FW","3","1.33"
"WILLSON JD","3","0.75"
"WILTON CM","3","0.44"
"WONG ST","3","0.24"
"YAMAURA Y","3","0.67"
"ACHARYA KP","2","0.29"
"ADAMS MJ","2","0.34"
"AHMAD B","2","0.28"
"ALLEN ML","2","0.44"
"ALTMAN B","2","0.40"
"ANDREWS LS","2","0.67"
"ANDRIANJAKARIVELO V","2","0.31"
"ANTHONY RG","2","0.67"
"ARNETT EB","2","0.40"
"ARROYO B","2","0.40"
"ASAD S","2","0.38"
"BAJARU SB","2","0.50"
"BALANGTAA C","2","0.42"
"BALME GA","2","0.31"
"BARICHIVICH WJ","2","0.31"
"BARRETT K","2","0.75"
"BARZAGHI B","2","0.20"
"BAUMANN M","2","0.29"
"BAUMGARDT JA","2","0.58"
"BAYLY NJ","2","0.46"
"BEAUDROT L","2","0.20"
"BEDWARD M","2","0.50"
"BEISSINGER SR","2","0.36"
"BERGALLO HG","2","0.42"
"BERGAMINI A","2","0.50"
"BERNARD H","2","0.29"
"BESNARD A","2","0.37"
"BETTOLI PW","2","0.53"
"BISCHOF R","2","0.25"
"BISHOP AA","2","0.40"
"BISI F","2","0.19"
"BLEISCH WV","2","0.67"
"BOHNETT ET","2","0.28"
"BOTSCH Y","2","0.50"
"BRADSTOCK RA","2","0.50"
"BRANCH LC","2","0.50"
"BREHME CS","2","0.33"
"BREWER SK","2","0.75"
"BROWN ME","2","0.31"
"BUEHLER DA","2","0.67"
"BURTON AC","2","0.42"
"CABODEVILLA X","2","0.40"
"CALLAS RL","2","0.75"
"CAMINO M","2","0.29"
"CAMPBELL TA","2","0.42"
"CARROLL JP","2","0.67"
"CARTER N","2","0.53"
"CEPEK JD","2","0.31"
"CHERKISS MS","2","0.22"
"CHIARELLO AG","2","0.31"
"CHRISTENSEN SA","2","0.58"
"CLARK AE","2","0.83"
"COATES PS","2","0.38"
"CONROY MJ","2","0.42"
"CONTRERAS F","2","0.37"
"CONZE KJ","2","0.11"
"COOPER RJ","2","0.45"
"CORRALES-GUTIERREZ D","2","0.22"
"COVE MV","2","0.25"
"CRAWFORD JA","2","0.58"
"CREMONESI G","2","0.19"
"CRUZ P","2","0.11"
"CURVEIRA-SANTOS G","2","0.42"
